58523	456889	456896	339915	339906
58523	456896	456903	339906	339896
58524	456938	456953	339901	339931
58524	456953	456968	339931	339962
58526	456861	456871	339961	339944
58526	456871	456880	339944	339927
58526	456880	456884	339927	339921
58526	456884	456889	339921	339915
58527	456750	456734	339928	339919
58527	456734	456733	339919	339918
58527	456733	456715	339918	339921
58529	456968	456974	339962	339961
58529	456974	456979	339961	339960
58529	456979	457033	339960	339939
58530	456773	456761	339923	339926
58530	456761	456750	339926	339928
58531	456861	456849	339961	339958
58531	456849	456838	339958	339965
58531	456838	456834	339965	339968
58531	456834	456830	339968	339974
58531	456830	456827	339974	339984
58531	456827	456824	339984	339993
58532	456732	456720	339975	339971
58532	456720	456709	339971	339968
58532	456709	456705	339968	339964
58532	456705	456701	339964	339959
58533	456874	456876	340000	339992
58533	456876	456878	339992	339984
58533	456878	456875	339984	339977
58533	456875	456872	339977	339970
58533	456872	456867	339970	339966
58533	456867	456861	339966	339961
58534	456771	456765	340036	340023
58534	456765	456758	340023	340011
58534	456758	456755	340011	340005
58534	456755	456752	340005	339999
58534	456752	456748	339999	339989
58534	456748	456744	339989	339980
58534	456744	456738	339980	339977
58534	456738	456732	339977	339975
58535	456824	456829	339993	340003
58535	456829	456834	340003	340006
58535	456834	456836	340006	340006
58535	456836	456854	340006	340009
58536	456824	456817	339993	340018
58536	456817	456817	340018	340018
58536	456817	456792	340018	340028
58536	456792	456782	340028	340032
58536	456782	456771	340032	340036
58537	456854	456858	340009	340008
58537	456858	456861	340008	340007
58537	456861	456874	340007	340000
58538	457012	456980	340044	340037
58538	456980	456976	340037	340036
58538	456976	456973	340036	340035
58538	456973	456970	340035	340035
58538	456970	456968	340035	340034
58538	456968	456938	340034	340025
58538	456938	456907	340025	340017
58538	456907	456891	340017	340008
58538	456891	456874	340008	340000
58539	456815	456827	340044	340022
58539	456827	456829	340022	340021
58539	456829	456854	340021	340009
58540	456771	456741	340036	340050
58541	456888	456887	340046	340043
58541	456887	456886	340043	340039
58554	456225	456277	339933	339991
58554	456277	456292	339991	340002
58554	456292	456306	340002	340004
58554	456306	456309	340004	340005
58554	456309	456346	340005	339993
58554	456346	456397	339993	339947
58554	456397	456417	339947	339917
58554	456417	456437	339917	339887
58555	456437	456464	339887	339905
58555	456464	456465	339905	339907
58555	456465	456488	339907	339932
58556	456621	456597	339900	339937
58556	456597	456573	339937	339975
58557	456715	456701	339921	339935
58557	456701	456701	339935	339937
58557	456701	456701	339937	339959
58558	456204	456214	339922	339927
58558	456214	456225	339927	339933
58559	456204	456209	339922	339922
58559	456209	456217	339922	339922
58559	456217	456230	339922	339922
58559	456230	456231	339922	339922
58560	456231	456228	339922	339927
58560	456228	456225	339927	339933
58561	456152	456178	339925	339924
58561	456178	456204	339924	339922
58562	456134	456143	339942	339934
58562	456143	456152	339934	339925
58563	456683	456670	339968	339941
58563	456670	456666	339941	339933
58563	456666	456647	339933	339942
58564	456134	456207	339942	340000
58564	456207	456258	340000	340028
58564	456258	456290	340028	340045
58564	456392	456400	340038	340040
58565	456559	456529	339954	339972
58565	456529	456477	339972	339991
58565	456477	456471	339991	339993
58565	456471	456400	339993	340040
58566	456559	456563	339954	339961
58566	456563	456567	339961	339968
58566	456567	456570	339968	339972
58566	456570	456573	339972	339975
58567	456683	456692	339968	339964
58567	456692	456701	339964	339959
58568	456570	456581	340026	340020
58568	456581	456592	340020	340014
58568	456592	456637	340014	339991
58568	456637	456683	339991	339968
58569	456573	456563	339975	339984
58569	456563	456553	339984	339993
58570	456194	456182	340033	340017
58570	456182	456150	340017	340006
58570	456150	456100	340006	339989
58571	456553	456542	339993	340002
58571	456542	456530	340002	340011
58571	456530	456521	340011	340019
58571	456521	456511	340019	340026
58572	456570	456565	340026	340016
58572	456565	456560	340016	340007
58572	456560	456557	340007	340000
58572	456557	456553	340000	339993
58574	456511	456488	340026	340041
58575	456511	456521	340026	340045
58678	456762	456752	339729	339710
58678	456752	456731	339710	339707
58678	456731	456624	339707	339777
58678	456624	456619	339777	339786
58678	456619	456569	339786	339882
58678	456569	456560	339882	339914
58678	456560	456559	339914	339954
58679	456605	456600	339709	339719
58679	456600	456598	339719	339722
58679	456598	456582	339722	339754
58679	456582	456570	339754	339776
58679	456570	456562	339776	339790
58679	456562	456558	339790	339798
58680	456762	456711	339729	339767
58680	456711	456659	339767	339805
58681	456881	456872	339780	339756
58681	456872	456862	339756	339732
58683	456804	456793	339814	339791
58683	456793	456782	339791	339768
58684	456985	456986	339783	339781
58684	456986	456988	339781	339778
58685	456924	456903	339867	339824
58685	456903	456881	339824	339780
58686	456807	456823	339819	339811
58686	456823	456840	339811	339802
58686	456840	456860	339802	339791
58686	456860	456881	339791	339780
58687	456985	457019	339783	339822
58688	456942	456964	339843	339813
58688	456964	456985	339813	339783
58689	456673	456718	339835	339817
58689	456718	456763	339817	339798
58690	456659	456631	339805	339848
58690	456631	456631	339848	339849
58690	456631	456621	339849	339900
58691	456659	456666	339805	339820
58691	456666	456673	339820	339835
58692	456807	456806	339819	339817
58692	456806	456804	339817	339814
58693	456804	456747	339814	339842
58693	456747	456690	339842	339870
58694	456841	456824	339888	339854
58694	456824	456807	339854	339819
58695	456673	456681	339835	339853
58695	456681	456690	339853	339870
58696	456929	456936	339861	339852
58696	456936	456942	339852	339843
58697	456942	456959	339843	339858
58697	456959	456968	339858	339875
58697	456968	456974	339875	339885
58697	456974	456987	339885	339911
58700	456929	456934	339861	339881
58700	456934	456938	339881	339901
58701	456924	456927	339867	339864
58701	456927	456929	339864	339861
58702	456903	456907	339896	339891
58702	456907	456914	339891	339882
58702	456914	456924	339882	339867
58703	456690	456698	339870	339887
58703	456698	456707	339887	339904
58703	456707	456711	339904	339912
58703	456711	456715	339912	339921
58704	456690	456656	339870	339885
58704	456656	456621	339885	339900
58705	456773	456763	339923	339904
58705	456763	456754	339904	339885
58706	456889	456860	339915	339910
58706	456860	456859	339910	339910
58706	456859	456841	339910	339888
58707	456841	456821	339888	339898
58707	456821	456802	339898	339908
58707	456802	456787	339908	339915
58707	456787	456773	339915	339923
